bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,reason_qwen,category_4o,bill_type_4o,reason_4o,category_sonnet,bill_type_sonnet,reason_sonnet
s792-115,"A bill to amend the Immigration and Nationality Act to establish an H-2B temporary non-agricultural work visa program, and for other purposes.",Save Our Small and Seasonal Businesses Act of 2017,Immigration,Administrative remedies|Congressional oversight|Department of Homeland Security|Foreign labor|Government information and archives|Government studies and investigations|Immigration status and procedures|Temporary and part-time employment|Visas and passports,1.0,enforcement,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B visas, directly regulating private employer conduct regarding worker compensation and conditions.",,,"The bill primarily addresses immigration procedures and the administration of the H-2B visa program, not private employer wage or benefit obligations.",1,enforcement,"The bill establishes wage requirements, U.S. worker protections, and housing obligations for private employers hiring H-2B temporary workers, directly regulating employer wage and benefit conduct under immigration law."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,enforcement,"The bill amends ERISA to modify the definition of fiduciary for ESOP appraisers, directly regulating the scope of private employer and plan fiduciary obligations regarding employee retirement benefits.",,,"The bill modifies the definition of fiduciary under ERISA to exclude appraisers of ESOPs, but does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",1,enforcement,"Amends ERISA to narrow the definition of fiduciary by excluding ESOP appraisers, thereby weakening fiduciary obligations that private employers as plan sponsors must ensure are met in managing employee retirement plans."
hr2234-112,To amend the Fair Labor Standards Act of 1938 to strengthen the provisions relating to child labor.,CARE Act of 2011,Labor and Employment,"Administrative law and regulatory procedures|Crimes against children|Department of Labor|Hazardous wastes and toxic substances|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and increase civil and criminal penalties for violations, directly regulating private employer conduct regarding the employment of minors.",1,enforcement,"The bill strengthens child labor provisions under the FLSA, directly affecting private employer obligations regarding youth employment and safety.",1,enforcement,"Strengthens FLSA child labor provisions by expanding hazardous occupation restrictions, eliminating agricultural exemptions, increasing penalties for violations, and prohibiting pesticide-related duties for minors—all directly tightening private employer wage and hour obligations regarding youth employment."
hr2782-116,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Employee Flexibility Act of 2019,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,"The bill modifies the definition of a full-time employee under the ACA employer mandate, directly altering the threshold at which private employers are obligated to provide health benefits to their workforce.",1,enforcement,"The bill modifies the employer mandate under the ACA by changing the definition of a full-time employee, affecting employer obligations to provide health benefits.",1,enforcement,"The bill modifies the full-time employee threshold under the ACA employer mandate, directly affecting private employers' obligations to provide health coverage to employees, which falls under ERISA-related employer-sponsored group health plan requirements."
hr4143-112,To amend the Internal Revenue Code of 1986 to extend the period during which transfers of excess pension assets may be made to retiree health accounts and to provide for the transfer of such assets to retiree group term life insurance accounts.,Extension of Section 420 and Retiree Life Insurance Act of 2012,Taxation,"Employee benefits and pensions|Income tax exclusion|Life, casualty, property insurance",1.0,enforcement,"The bill regulates the management and transfer of assets within private employer-sponsored defined benefit pension plans and retiree health/life insurance accounts, directly impacting ERISA obligations regarding the maintenance of employee benefit plans.",,,"The bill addresses tax treatment of pension asset transfers to retiree health and life insurance accounts, not private employer wage or benefit obligations.",,,"This bill modifies optional tax treatment rules for pension asset transfers to retiree benefit accounts, but does not impose new mandatory employer conduct obligations regarding wages, hours, or benefit plan maintenance that would constitute the type of employer misconduct targeted by enforcement actions."
hr4598-114,"To amend the Immigration and Nationality Act to improve the H-1B visa program, to repeal the diversity visa lottery program, and for other purposes.",American Jobs First Act of 2016,Immigration,Administrative remedies|Civil actions and liability|Department of Labor|Employment and training programs|Foreign labor|Government information and archives|Higher education|Judicial review and appeals|Labor-management relations|Unemployment|Visas and passports|Wages and earnings,1.0,enforcement,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, requiring them to pay the greater of the prevailing wage or $110,000, and establishes enforcement mechanisms for violations of these wage and employment conditions.",1,enforcement,"The bill imposes wage requirements on employers hiring H-1B visa holders, directly affecting private employer wage obligations.",1,enforcement,"The bill imposes mandatory minimum wage requirements ($110,000+) on private employers hiring H-1B workers and prohibits employers from requiring employees to sign nondisclosure agreements that prevent reporting H-1B program misuse, directly regulating private employer wage and retaliation conduct."
s893-115,"A bill to repeal the current Internal Revenue Code and replace it with a flat tax, thereby guaranteeing economic growth and fairness for all Americans.","Simplified, Manageable, And Responsible Tax Act",Taxation,Employee benefits and pensions|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Legislative rules and procedure|Tax reform and tax simplification|Transfer and inheritance taxes,1.0,enforcement,"The bill repeals specific ERISA rules relating to non-discrimination, contribution limits, and restrictions on distributions for pension plans, directly altering the regulatory obligations of private employers regarding employee retirement benefits.",,,"The bill primarily addresses tax reform and simplification, including changes to income tax rates and deductions, and does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",,,"This comprehensive tax reform bill repeals most existing tax credits and restructures the entire tax code with a flat rate, but does not directly regulate private employer wage, hour, or benefit obligations; the pension rule changes modify optional plan features and tax treatment rather than imposing new mandatory employer conduct obligations."
s68-113,A bill to enhance the security of chemical facilities and for other purposes.,Secure Chemical Facilities Act,Emergency Management,Administrative law and regulatory procedures|Administrative remedies|Civil actions and liability|Congressional oversight|Department of Homeland Security|Emergency planning and evacuation|Employment discrimination and employee rights|Evidence and witnesses|Executive agency funding and structure|Fires|Government information and archives|Hazardous wastes and toxic substances|Higher education|Homeland security|Industrial facilities|Performance measurement|Personnel records|Solid waste and recycling|Terrorism|Water quality|Water use and supply,1.0,enforcement,"The bill establishes whistleblower protections for employees of covered chemical facilities who report safety violations, which aligns with the category's inclusion of statutes protecting employees who report unsafe working conditions or other protected activities.",,,"The bill focuses on enhancing security at chemical facilities and does not address private employer wage, hour, or benefit obligations.",1,enforcement,"Establishes whistleblower protections for employees of covered chemical facilities who report safety violations, directly regulating private employer retaliation obligations under workplace safety and whistleblower statutes."
s974-112,A bill to amend the Internal Revenue Code of 1986 to expand the tip tax credit to employers of cosmetologists and to promote tax compliance in the cosmetology sector.,Small Business Tax Equalization and Compliance Act of 2011,Taxation,"Employment taxes|Income tax credits|Self-employed|Small business|Tax administration and collection, taxpayers|Wages and earnings",1.0,tax_credit_introduction,"The bill extends an existing tax credit for social security taxes paid on employee tips to employers of cosmetologists, incentivizing tax compliance regarding tip reporting and wage obligations for private employers.",,,"The bill primarily addresses tax compliance and reporting requirements for employers of cosmetologists, not private employer wage or benefit obligations.",1,tax_credit_introduction,"Extends an existing tax credit for social security taxes paid on employee cash tips to a new category of employers (those employing cosmetologists), thereby incentivizing tip-related wage compliance in the cosmetology sector."
hr515-113,To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2013,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected leave and preventing retaliation for taking such leave.",1,enforcement,"Amends the FMLA to include bereavement leave for the death of a child, directly affecting private employer obligations under FMLA.",1,enforcement,"Expands FMLA protections by creating a new mandatory leave entitlement for private employers when an employee experiences the death of a son or daughter, directly strengthening employer obligations under federal leave law."
