bill_id,category_ids,category_labels,bill_type,reason
hr6390-114,,,,"The bill regulates financial stability and prudential standards for bank holding companies under the Dodd-Frank Act, which does not involve private employer wage, hour, or benefit obligations."
hr3789-111,,,,"The bill regulates Amtrak's policies on transporting firearms and ammunition, which is a transportation safety issue unrelated to private employer wage, hour, or benefit obligations."
s1717-108,,,,"The bill establishes a federal network for cord blood stem cell banking and research under the Public Health Service Act, which does not regulate private employer wage, hour, or benefit obligations."
hr1972-107,,,,"The bill amends the Davis-Bacon Act, which sets prevailing wage requirements for federal construction contracts; this regulates government procurement and contractor compliance rather than imposing general wage, hour, or benefit obligations on private non-governmental employers under statutes like the FLSA or ERISA."
s3006-114,,,,"The bill concerns the exchange of federal and non-federal land in Alaska for the Alaska Mental Health Trust Authority, which is a matter of public lands and natural resources administration, not private employer wage, hour, or benefit obligations."
hr4986-106,,,,"The bill addresses corporate income tax provisions regarding foreign sales and extraterritorial income, which are general business tax matters unrelated to private employer wage, hour, or benefit obligations."
hr1370-115,,,,"The bill is primarily an appropriations measure funding federal agencies (DHS, DOD, HHS) and extending public health programs (CHIP, community health centers), which does not regulate private employer wage, hour, or benefit obligations."
s2163-110,,,,"The bill provides income tax averaging for private forest landowners, which is a general tax policy matter unrelated to private employer wage, hour, or benefit obligations."
s961-109,,,,"The bill primarily addresses the solvency and funding of government trust funds (Abandoned Mine Reclamation Fund) and transfers public funds to union benefit plans, which falls under the exclusion for bills financing government trust funds for miner benefits rather than regulating private employer wage or benefit obligations."
hr4096-108,,,,"The bill provides tax incentives for hiring workers in specific geographic areas (renewal communities), which falls under the exclusion for general hiring credits that incentivize hiring decisions rather than regulating private employer wage, hour, or benefit compliance."
hr2600-114,,,,"The bill focuses on financial regulation, systemic risk, and the breakup of large financial institutions, which does not involve private employer wage, hour, or benefit obligations."
s1105-113,,,,"The bill addresses the circulation and policy of U.S. currency ($1 coins), which is a matter of monetary policy and government operations, not private employer wage, hour, or benefit obligations."
s2976-109,,,,"The bill suspends import duties on specific industrial equipment (bench grinders) and does not regulate private employer wage, hour, or benefit obligations."
hr1847-111,,,,"The bill mandates the inclusion of coal-derived fuel in various fuel types, which is an energy policy regulation and does not involve private employer wage, hour, or benefit obligations."
hr4172-110,,,,"The bill addresses estate tax rates and basis rules for decedents, which are general tax policy matters unrelated to private employer wage, hour, or benefit obligations."
